rank,plate_code,plate_name,strength,speed,change_percent,amount,main_net_amount,main_buy_amount,main_sell_amount,volume_ratio,float_market_value,large_order_net_amount,raw_columns
150,801114,外贸,129,1.4,0.883,264160507567,-9904315,2152506747,-2162411062,1.052,7090623575109,15452349,19
151,801522,专精特新,128,1.511,0.617,263583269077,2171919840,6095742376,-3923822536,1.029,5685062268640,357922796,19
152,801950,中欧概念,127,1.279,0,29137971241,21086844,70846641,-49759797,0.934,1008411570491,0,19
153,801053,零售,127,1.379,0.409,54427076748,277703133,2131440926,-1853737793,1.029,2473078340957,-11231352,19
154,801878,端侧AI,126,1.67,0.355,259019429341,-267885868,9027488768,-9295374636,1.069,6835532886108,-103771727,19
155,801076,乡村振兴,125,1.412,0.263,109652070414,80472796,942423784,-861950988,1.005,3675935604095,95568853,19
156,801209,振兴东北,124,1.561,0,4521852379,6163227,53167957,-47004730,0.844,345398903373,0,19
157,801373,ETC,124,1.248,-0.01,11362804421,-1527565,51014974,-52542539,0.87,360312920579,0,19
158,801788,仪器仪表,121,1.22,0.182,6607069428,-8577273,134348096,-142925369,0.957,249617306116,-3960218,19
159,801040,造纸,121,1.512,0.179,5568575405,-53313726,758931816,-812245542,0.947,203442353835,-6413782,19
160,801165,氢能源,121,1.302,0.259,211180802715,128920985,4913020953,-4784099968,0.975,10289872344151,10650102,19
161,801190,卫星导航,120,1.471,0.425,188617800569,-307881443,9660816213,-9968697656,1.013,4435557352914,-72059058,19
162,801452,再融资,120,1.581,0.006,119592336602,-118769261,505943362,-624712623,1.015,2941020412005,-39761893,19
163,801614,电子纸,119,1.194,0.019,4508397191,9355138,33834712,-24479574,0.902,196679956420,0,19
164,801313,金融概念,119,1.305,0.194,216216362804,364388417,9739170751,-9374782334,1.001,11617121615405,210267960,19
165,801743,北京市,119,1.416,0.288,229616249584,-276352453,1375039520,-1651391973,0.999,21709608458444,-24796558,19
166,801741,云南省,119,1.428,0.019,19131472435,-1345543,147025663,-148371206,0.992,997321167916,4750000,19
167,801284,举牌,118,1.299,0.031,18415141297,40352471,619608301,-579255830,0.999,1269261875298,-45931298,19
168,801622,跨境支付,118,1.182,0.002,38161939808,-207932775,723476713,-931409488,0.99,8851412415378,-102297839,19
169,801168,工业气体,117,1.171,-0.09,6484097583,58493271,300843480,-242350209,0.954,144527015725,3022551,19
170,801148,碳中和,117,1.263,0.4,136683448499,627679979,4255304279,-3627624300,0.927,5788797023296,910692506,19
171,801760,湖北省,115,1.294,0.361,76282467792,26564898,647395461,-620830563,0.966,1965400863366,-13709900,19
172,801241,核污染概念,115,1.438,0.153,17180978971,-47103747,273232855,-320336602,0.917,711317449933,1855075,19
173,801978,中科系,114,1.148,0,7657824534,0,0,0,0.859,319794024987,0,19
174,801450,年报预增,113,1.139,0.113,97513815316,-17083318,208222643,-225305961,1.081,2500316168165,2301264,19
175,801587,光热发电,113,1.312,0.005,20176929088,37440122,429429505,-391989383,1.113,841493730197,-8767586,19
176,801386,轨道交通,112,1.562,0.157,84410235867,-57158233,1669533927,-1726692160,1.003,3479320090048,-32744497,19
177,801350,一带一路,112,1.348,0.325,319029918528,-371190100,4821332586,-5192522686,0.95,15011015030794,-35915937,19
178,801412,新零售,112,1.296,0.164,46686235311,14314040,189039900,-174725860,1.026,1427766550774,7362330,19
179,801705,超导概念,111,1.397,-0.042,34764387559,-81755142,346989669,-428744811,1.279,721903298946,-11399782,19
180,801227,烟草,111,1.742,0.097,11995438499,-3093576,144472055,-147565631,1.143,232099497961,0,19
181,801857,PPP概念,111,1.348,0.2,46861174187,-37495579,282321000,-319816579,1.017,2636506314122,0,19
182,801470,西部大开发,110,1.253,0.622,273301578248,-375462832,2326025745,-2701488577,0.939,12885012311786,-66918703,19
183,801380,生鲜电商,109,1.094,-0.09,1745563890,71308,2799866,-2728558,0.956,251698401911,0,19
184,801019,物流,108,1.151,0.433,81156392137,-199944315,3149011129,-3348955444,1.007,3546199854889,-41926682,19
185,801511,新型工业化,108,1.884,0.808,266624531540,-4088000,8993908870,-8997996870,1.047,8580800776681,-91610665,19
186,801994,西藏水电站,108,1.337,0.119,43786844399,-26933378,51906127,-78839505,1.018,1543769101158,-3462570,19
187,801932,海洋经济,107,1.293,0.173,193266990963,-271814001,2773289869,-3045103870,1,4859388931982,51493774,19
